company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
BAJFINANCE,2023,-,-,+,Debt Funded Growth
BAJFINANCE,2024,-,-,+,Debt Funded Growth
BANKBARODA,2013,+,-,-,Reinvestment
BANKBARODA,2014,+,-,+,Mixed
BANKBARODA,2015,+,-,-,Reinvestment
BANKBARODA,2016,-,-,-,Pre-Revenue
BANKBARODA,2017,+,-,-,Reinvestment
BANKBARODA,2018,-,-,+,Debt Funded Growth
BANKBARODA,2019,-,-,+,Debt Funded Growth
BANKBARODA,2020,+,-,+,Mixed
BANKBARODA,2021,-,-,-,Pre-Revenue
BANKBARODA,2022,+,-,-,Reinvestment
BANKBARODA,2023,-,-,-,Pre-Revenue
BANKBARODA,2024,-,-,+,Debt Funded Growth
BEL,2013,-,+,-,Mixed
BEL,2014,-,+,-,Mixed
BEL,2015,+,-,-,Reinvestment
BEL,2016,+,-,-,Reinvestment
BEL,2017,-,+,-,Mixed
BEL,2018,-,-,-,Pre-Revenue
BEL,2019,+,-,-,Reinvestment
BEL,2020,+,-,-,Reinvestment
BEL,2021,+,-,-,Reinvestment
BEL,2022,+,-,-,Reinvestment
BEL,2023,+,+,-,Shareholder Returns
BEL,2024,+,-,-,Reinvestment
BHARTIARTL,2013,+,-,-,Reinvestment
BHARTIARTL,2014,+,-,+,Mixed
BHARTIARTL,2015,+,-,-,Reinvestment
BHARTIARTL,2016,+,-,-,Reinvestment
BHARTIARTL,2017,+,-,-,Reinvestment
BHARTIARTL,2018,+,-,+,Mixed
BHARTIARTL,2019,+,-,+,Mixed
BHARTIARTL,2020,+,-,+,Mixed
BHARTIARTL,2021,+,-,-,Reinvestment
BHARTIARTL,2022,+,-,-,Reinvestment
BHARTIARTL,2023,+,-,-,Reinvestment
BHARTIARTL,2024,+,-,-,Reinvestment
BHEL,2013,+,-,+,Mixed
BHEL,2014,+,-,+,Mixed
BHEL,2015,+,+,-,Shareholder Returns
BHEL,2016,+,+,-,Shareholder Returns
BHEL,2017,+,-,-,Reinvestment
BHEL,2018,+,+,-,Shareholder Returns
BHEL,2019,-,+,-,Mixed
BHEL,2020,-,+,+,Distress
BHEL,2021,+,-,-,Reinvestment
BHEL,2022,+,-,-,Reinvestment
BHEL,2023,-,+,+,Distress
BHEL,2024,-,+,+,Distress
BOSCHLTD,2012,+,-,-,Reinvestment
BOSCHLTD,2013,+,-,-,Reinvestment
BOSCHLTD,2015,+,-,-,Reinvestment
