id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,broad_sector,net_profit_margin,operating_profit_margin,roe,ebit,roce,roa,debt_to_equity,interest_coverage,net_debt,asset_turnover,debt_free,high_leverage_flag
115,ADANIGREEN,2021,3124,883,2241.0,71.73,391,1953,486,193,6.0,182,1.0,0.0,196,1564.0,636,24209,2283,28692,16429,4452,502,7309,28692,Energy,5.8258642765685025,71.73495518565942,8.272727272727273,1755.0,6.645461774395092,0.6343231562804963,11.004090909090909,1.3476702508960574,23707,0.10888052418792694,No,True
116,ADANIGREEN,2022,5133,1621,3512.0,68.42,507,2617,849,553,12.0,489,3.0,0.0,197,1564.0,1050,52832,3508,58954,28452,19999,574,10029,58954,Energy,9.526592635885448,68.42002727449834,18.706962509563887,2663.0,4.802871262128918,0.8294602571496421,20.211170619739864,1.5357279327474207,52258,0.08706788343454218,No,True
117,ADANIGREEN,2023,7776,2806,4970.0,63.91,667,2911,1300,1426,32.0,973,6.0,0.0,198,1584.0,5720,54223,5382,66909,48336,5291,1149,12133,66909,Energy,12.512860082304528,63.91460905349794,13.321467688937568,3670.0,5.964860955352934,1.4542139323558863,7.423740416210296,1.936447956028856,53074,0.11621754920862665,No,True
118,ADANIGREEN,2024,9220,1902,7318.0,79.37,1262,5006,1903,1671,25.0,1260,7.0,0.0,199,1584.0,8250,64858,13394,88086,62284,6427,1515,17860,88086,Energy,13.665943600867678,79.3709327548807,12.812690665039659,5415.0,7.249772398650458,1.430420271098699,6.595281675818589,1.713943268078306,63343,0.10467043571055559,No,True
120,ADANIPORTS,2013,3577,1195,2382.0,66.59,344,542,422,1762,7.0,1639,8.0,12.0,201,401.0,5993,11620,3022,21035,11382,2951,222,6480,21035,Industrials,45.820519988817445,66.59211629857423,25.633406318423525,1960.0,10.880426335072721,7.791775612075114,1.817328745699093,5.029520295202952,11398,0.17004991680532447,No,False
121,ADANIPORTS,2014,4830,1910,2919.0,60.43,685,977,649,1978,12.0,1741,8.0,12.0,202,414.0,8351,12979,2933,24677,13163,2025,63,9426,24677,Industrials,36.04554865424431,60.43478260869565,19.86309184255562,2270.0,10.439661515820456,7.055152571220165,1.4807758128921849,3.6888433981576254,12916,0.19572881630668235,No,False
122,ADANIPORTS,2015,6152,2250,3902.0,63.43,686,1175,912,2501,7.0,2324,11.0,10.0,203,414.0,10351,17776,3541,32082,20527,1276,260,10020,32082,Industrials,37.77633289986996,63.42652795838751,21.58848118903855,2990.0,10.476157107319295,7.243937410385887,1.651277287505806,3.90468085106383,17516,0.19175861853999127,No,False
123,ADANIPORTS,2016,7109,2532,4577.0,64.38,730,1124,1063,3119,9.0,2856,14.0,8.0,204,414.0,13091,22342,2538,38385,20883,1967,545,14990,38385,Industrials,40.17442678295119,64.38317625545083,21.147723065531284,3514.0,9.802772895918766,7.44040640875342,1.6543502406516104,4.72153024911032,21797,0.18520255308063047,No,False
124,ADANIPORTS,2017,8439,3021,5418.0,64.2,1037,1116,1160,4179,7.0,3902,19.0,7.0,205,414.0,17112,22214,3629,43369,21054,4514,1161,16641,43369,Industrials,46.23770588932338,64.20191965872733,22.264064817984707,4258.0,10.714645193759436,8.997209988701607,1.2674883030925481,5.784050179211469,21053,0.19458599460444095,No,False
125,ADANIPORTS,2018,11323,4166,7157.0,63.21,844,1579,1188,5234,30.0,3690,18.0,11.0,206,414.0,20489,22370,3960,47233,22670,4545,1079,18938,47233,Industrials,32.588536606906295,63.20763048662016,17.652968473424867,5969.0,13.793820627180923,7.812334596574429,1.0701813136870306,5.067131095630145,21291,0.23972646243092752,No,False
126,ADANIPORTS,2019,10925,4330,6596.0,60.38,1289,1385,1373,5126,21.0,4045,19.0,1.0,207,414.0,23958,27712,4228,56311,28121,4483,782,22924,56311,Industrials,37.02517162471396,60.37528604118994,16.596914492040046,5223.0,10.028031641194993,7.183321198344907,1.1370425077958313,5.693140794223827,26930,0.19401182717408677,No,False
127,ADANIPORTS,2020,11873,5926,5947.0,50.09,1928,1951,1680,4244,11.0,3785,19.0,17.0,208,406.0,25051,30242,6217,61917,32715,3216,1178,24808,61917,Industrials,31.8790533142424,50.08843594710688,14.868209136976077,4267.0,7.660819763370977,6.113022271750893,1.1879640177554307,4.036391594054331,29064,0.1917567065587803,No,False
128,ADANIPORTS,2021,12550,3862,8688.0,69.23,1967,2255,2107,6292,20.0,5049,25.0,20.0,209,406.0,30035,35855,8285,74582,48291,3697,2236,20358,74582,Industrials,40.23107569721115,69.22709163346613,16.586183108307875,6581.0,9.926692409798479,6.769729961652946,1.1778522387569397,4.725055432372505,33619,0.16827116462417205,No,False
129,ADANIPORTS,2022,17119,7591,9528.0,55.66,1832,2544,3099,5717,13.0,4953,23.0,22.0,210,422.0,41399,47935,8572,98328,62553,4023,3161,28591,98328,Industrials,28.93276476429698,55.65745662713943,11.843332297171278,6429.0,7.162752350817772,5.037222357822797,1.1461944955883407,4.465408805031447,44774,0.1741009681881051,No,False
130,ADANIPORTS,2023,20852,9905,10947.0,52.5,327,2363,3425,5487,2.0,5391,25.0,20.0,211,432.0,44957,53434,13740,112563,72224,6637,7432,26271,112563,Industrials,25.85363514291195,52.498561289084975,11.8773271056864,7522.0,7.6115883954140235,4.789317981930119,1.1772455881380952,4.771053745239103,46002,0.18524737258246493,No,False
131,ADANIPORTS,2024,26711,11121,15589.0,58.36,671,2733,3888,9639,16.0,8104,38.0,16.0,212,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,Industrials,30.339560480700833,58.36172363445772,15.3548827162833,11701.0,11.44374462092168,6.926554927819896,0.9373223691689719,5.949506037321624,45181,0.22830109659056916,No,False
146,ADANIPOWER,2013,6692,5732,960.0,14.35,215,1703,1290,-1818,26.0,-2295,-10.0,0.0,214,2393.0,1900,41795,8599,54688,29089,18976,22,6600,54688,Energy,-34.294680215182304,14.34548714883443,-53.459119496855344,-330.0,-0.7160215240409651,-4.1965330602691635,9.735616119263918,0.6899588960657663,41773,0.12236688121708601,No,True
147,ADANIPOWER,2014,15328,10735,4593.0,29.96,137,4162,1937,-1370,-79.0,-291,-1.0,0.0,215,2872.0,3671,44150,8045,58739,46365,3660,115,8599,58739,Energy,-1.8984864300626305,29.964770354906058,-4.447501146263182,2656.0,5.239382163217801,-0.49541190691023,6.747669264863212,1.1364728495915426,44035,0.2609509865676978,No,True
148,ADANIPOWER,2015,18683,14005,4678.0,25.04,1188,4864,1818,-816,0.0,-816,-3.0,0.0,216,2872.0,2853,44742,8008,58474,45080,191,357,12846,58474,Energy,-4.367606915377617,25.03880533104962,-14.253275109170305,2860.0,5.667069570214199,-1.3954920135444813,7.815196506550218,1.2060032894736843,44385,0.3195095256011219,No,True
149,ADANIPOWER,2016,25377,16575,8802.0,34.68,-201,5560,2666,375,-47.0,551,2.0,0.0,217,3334.0,4134,52729,15597,75794,56941,88,0,18765,75794,Energy,2.171257437837412,34.6849509398274,7.378146759507231,6136.0,10.19319899662774,0.7269704725967755,7.06065881092662,1.5469424460431656,52729,0.33481542074570547,No,True
