company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_to_equity,interest_coverage,asset_turnover,net_debt,debt_free,high_leverage_flag,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y,pat_cagr_3y,pat_cagr_5y,pat_cagr_10y,eps_cagr_3y,eps_cagr_5y,eps_cagr_10y,free_cash_flow,cashflow_quality,cashflow_status,broad_sector,pe_ratio,pb_ratio,dividend_yield_pct,roe_score,roce_score,npm_score,fcf_score,cash_quality_score,revenue_growth_score,pat_growth_score,debt_score,interest_score,composite_score
ONGC,2024,9.6552901947257,17.388518015001793,16.940398136885513,15.108995188179115,8.044955154739396,0.4544486308481917,11.361290955463998,0.8332173339682772,50974,No,0,24.86,7.0,13.01,38.79,10.97,7.91,44.22,10.2,6.39,42060.0,0.97,Positive,Energy,18.15,10.36,1.11,0.17163338403941994,0.24835779222568102,1.5349742156165862,83.33731533468722,27.927927927927925,16.04124892580922,7.914393621485523,72.61237888631919,0.22084324538294411,24.77592169971894
IOC,2024,5.559462717942377,9.743776019125344,23.53162465856491,18.915027923238775,8.941893540895371,0.7230954600718581,10.282324578099226,1.6084096601703397,67086,No,0,28.73,8.01,4.74,25.64,20.1,20.01,25.99,20.11,19.62,39635.0,1.0,Positive,Energy,28.61,4.24,1.25,0.3448053008207496,0.3252360468490416,0.5817161576733837,78.50913869310716,30.630630630630627,18.934402749928385,15.577003776751997,56.42221552629954,0.19215835957240923,24.21422246829247
INFY,2024,17.08075746730006,23.703390381987376,29.788006718416632,32.906970717802544,19.297162182032054,0.0948635889055336,87.52340425531915,1.129760329363329,-16264,No,0,15.22,13.2,11.85,10.56,11.24,9.43,11.87,12.47,10.6,20117.0,1.12,Positive,Information Technology,35.99,8.97,4.1,0.5091798174387578,0.607860032430476,3.2631687139683785,39.64878748058774,41.44144144144145,33.80120309366943,8.140998741082669,94.28298854024578,2.245652886283156,24.108426961216978
LTIM,2024,12.90931103415266,17.982937748120616,22.904386052552702,25.20711666440309,16.64609352309033,0.1034568888000799,31.93243243243243,1.289464130119082,-6673,No,0,42.13,30.33,21.86,33.25,24.78,16.5,11.77,12.24,-6.67,1752.0,0.92,Positive,Information Technology,64.52,2.38,4.43,0.3283258016979206,0.45233027699060874,2.2923111892761705,3.084060048580416,23.423423423423426,82.87023775422514,19.504825849769205,93.76510813385352,0.7677378072880052,21.662105174714842
HCLTECH,2024,14.293122742532727,22.015594151738192,23.01393141233172,27.05313357020305,15.867725188372422,0.0843502336551279,46.46112115732369,1.1101650405025958,-1379,No,0,13.4,12.71,13.08,12.04,9.19,9.18,12.26,9.41,9.69,15840.0,1.02,Positive,Information Technology,63.63,5.44,1.99,0.3312038972792266,0.48961806918845824,2.6143778947628555,31.133277585314378,32.432432432432435,32.39759381266112,6.420478388585817,94.91658224190185,1.1539906005105112,21.022730003111207
BPCL,2024,5.994201967046283,9.83790949444634,35.511337343822305,28.649200669564017,13.26907686075349,0.7218747934157467,11.355507351168956,2.213651947949293,27968,No,0,24.86,8.48,5.42,15.75,25.79,20.82,18.78,28.06,21.29,25415.0,1.0,Positive,Energy,68.15,0.72,1.15,0.6595494233861281,0.5218571121505303,0.6828968579498371,50.19710906701709,30.630630630630627,20.28072185620166,20.352496852706672,56.49577973931364,0.2206894852359581,20.658720079952634
DMART,2024,4.993207190533383,8.084427730414067,13.56294790886726,17.49611197511664,11.978084262233136,0.0316611402289014,73.29310344827586,2.398875873795579,485,No,0,28.13,20.48,26.91,32.14,22.97,31.74,31.89,22.74,29.24,278.0,1.05,Positive,Consumer Discretionary,72.53,11.71,1.94,0.08289731528260882,0.29657528927224935,0.44992651384262694,0.14932505077051725,35.135135135135144,54.654826697221424,17.98573227024759,98.09192226853483,1.8673328920155319,20.150432292153734
ATGL,2024,14.927374301675975,24.67039106145252,18.65921787709497,18.41541755888651,10.133495145631068,0.4349162011173184,10.504504504504505,0.6788531553398058,851,No,0,38.18,21.09,,13.0,23.88,,14.47,24.57,,203.0,1.15,Positive,Energy,56.96,5.76,0.51,0.216792097373675,0.3151443909236122,2.7619928548517434,0.0,44.144144144144136,56.40217702663993,18.749475451112044,73.78951255685158,0.19806512919195396,20.070146952550804
ITC,2024,29.282025230717128,37.0177518132814,27.851074395694365,32.63868466782516,22.61590775334045,0.0040667319849141,362.9625,0.7723477995509732,-30811,No,0,12.89,7.95,7.22,15.74,10.08,8.71,13.3,9.86,8.62,18742.0,0.85,Positive,Consumer Staples,47.85,3.24,4.26,0.4582906116288406,0.6024409084507834,6.102877387863593,36.91116154979493,17.117117117117115,18.762532225723287,7.16743600503567,99.75491594161954,9.568345395469702,19.73223759598777
LICI,2024,4.836600998148862,3.87474201090824,49.44710986501021,39.05035832114759,0.7696696436280568,0.0,371.9375,0.1591344094587576,-4976133,Yes,0,6.98,8.16,,139.62,73.18,,111.26,,,853.0,0.88,Positive,Financials,30.67,8.1,3.77,1.0256852907220615,0.7319506404983949,0.4134781732666244,1.2941504400111496,19.81981981981982,19.36407906044113,60.125891733109526,100.0,9.806950467463075,19.604910548912933
